Mon Dec 14 21:17:48 +0000 2020,RT @AidelZack: Croire en l\u2019amour c\u2019est vivre l\u2019enfer
Mon Dec 14 21:17:49 +0000 2020,RT @AidelZack: Croire en l\u2019amour c\u2019est vivre l\u2019enfer
Mon Dec 14 21:17:49 +0000 2020,RT @moneymarathon_: Under amour got Baltimore having the most athletic looking drug dealers in a America
Mon Dec 14 21:17:51 +0000 2020,Gabriel le fils de #SamuelPaty deviendra demain Pupille de la nation.\n\nJe lui souhaite du soleil plein d'amour\u2026 https:\/\/t.co\/GenQ5uY0iW
Mon Dec 14 21:17:51 +0000 2020,RT @rien9897: Alix elle est vx refouler la haine qu\u2019elle a contre Benji sur tout le monde jss d\u00e9sol\u00e9 mais meuf si tu n\u2019es  pas encore pr\u00ea\u2026
Mon Dec 14 21:17:51 +0000 2020,Alix se croit trop au dessus des autres depuis sa premi\u00e8re apparition dans les princes de l'amour \nGr\u00e2ce \u00e0 Benji el\u2026 https:\/\/t.co\/sFXI5V7ydA""display_text_range":[0140]"source":"\u003ca href=\"http:\/\/twitter.com\/download\/android\" rel=\"nofollow\"\u003eTwitter for Android\u003c\/a\u003e""truncated":true"in_reply_to_status_id":null"in_reply_to_status_id_str":null"in_reply_to_user_id":null"in_reply_to_user_id_str":null"in_reply_to_screen_name":null"user":{"id":3232095293"id_str":"3232095293""name":"Manz\u00e8l \ud83c\uddec\ud83c\uddeb""screen_name":"Demoisel_Rbk""location":"Guyane Fran\u00e7aise""url":null"description":"Guyanaise \ud83c\uddec\ud83c\uddeb\nS\u00e9n\u00e9galaise de c\u0153ur \ud83c\uddf8\ud83c\uddf3\n\nMo ka di sa mo l\u00e9 tchiiiip \ud83d\ude44""translator_type":"none""protected":false"verified":false"followers_count":127"friends_count":130"listed_count":2"favourites_count":10418"statuses_count":2164"created_at":"Sun May 03 22:59:14 +0000 2015""utc_offset":null"time_zone":null"geo_enabled":false"lang":null"contributors_enabled":false"is_translator":false"profile_background_color":"1A1B1F""profile_background_image_url":"http:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png""profile_background_image_url_https":"https:\/\/abs.twimg.com\/images\/themes\/theme1\/bg.png""profile_background_tile":false"profile_link_color":"FAB81E""profile_sidebar_border_color":"000000""profile_sidebar_fill_color":"000000""profile_text_color":"000000""profile_use_background_image":true"profile_image_url":"http:\/\/pbs.twimg.com\/profile_images\/1293388883468718080\/E2A1b3lY_normal.jpg""profile_image_url_https":"https:\/\/pbs.twimg.com\/profile_images\/1293388883468718080\/E2A1b3lY_normal.jpg""profile_banner_url":"https:\/\/pbs.twimg.com\/profile_banners\/3232095293\/1567379760""default_profile":false"default_profile_image":false"following":null"follow_request_sent":null"notifications":null}"geo":null"coordinates":null"place":null"contributors":null"is_quote_status":false"extended_tweet":{"full_text":"Alix se croit trop au dessus des autres depuis sa premi\u00e8re apparition dans les princes de l'amour \nGr\u00e2ce \u00e0 Benji elle a gonfl\u00e9 sa communaut\u00e9 genre \"la meuf forte tromp\u00e9e bris\u00e9e par son ex\"\nElle justifie son arrogance et son impolitesse par sa franchise et son honn\u00eatet\u00e9 #LPDLA8 https:\/\/t.co\/MfdPosgUwK""display_text_range":[0277]"entities":{"hashtags":[{"text":"LPDLA8""indices":[270277]}]"urls":[]"user_mentions":[]"symbols":[]"media":[{"id":1338594064669798405"id_str":"1338594064669798405""indices":[278301]"description":"Whatever Bye Go Away GIF""media_url":"http:\/\/pbs.twimg.com\/tweet_video_thumb\/EpOkNasW8AUTGxX.jpg""media_url_https":"https:\/\/pbs.twimg.com\/tweet_video_thumb\/EpOkNasW8AUTGxX.jpg""url":"https:\/\/t.co\/MfdPosgUwK""display_url":"pic.twitter.com\/MfdPosgUwK""expanded_url":"https:\/\/twitter.com\/Demoisel_Rbk\/status\/1338594073448493056\/photo\/1""type":"animated_gif""video_info":{"aspect_ratio":[52]"variants":[{"bitrate":0"content_type":"video\/mp4""url":"https:\/\/video.twimg.com\/tweet_video\/EpOkNasW8AUTGxX.mp4"}]}"sizes":{"large":{"w":320"h":128"resize":"fit"}"medium":{"w":320"h":128"resize":"fit"}"thumb":{"w":128"h":128"resize":"crop"}"small":{"w":320"h":128"resize":"fit"}}}]}"extended_entities":{"media":[{"id":1338594064669798405"id_str":"1338594064669798405""indices":[278301]"description":"Whatever Bye Go Away GIF""media_url":"http:\/\/pbs.twimg.com\/tweet_video_thumb\/EpOkNasW8AUTGxX.jpg""media_url_https":"https:\/\/pbs.twimg.com\/tweet_video_thumb\/EpOkNasW8AUTGxX.jpg""url":"https:\/\/t.co\/MfdPosgUwK""display_url":"pic.twitter.com\/MfdPosgUwK""expanded_url":"https:\/\/twitter.com\/Demoisel_Rbk\/status\/1338594073448493056\/photo\/1""type":"animated_gif""video_info":{"aspect_ratio":[52]"variants":[{"bitrate":0"content_type":"video\/mp4""url":"https:\/\/video.twimg.com\/tweet_video\/EpOkNasW8AUTGxX.mp4"}]}"sizes":{"large":{"w":320"h":128"resize":"fit"}"medium":{"w":320"h":128"resize":"fit"}"thumb":{"w":128"h":128"resize":"crop"}"small":{"w":320"h":128"resize":"fit"}}}]}}"quote_count":0"reply_count":0"retweet_count":0"favorite_count":0"entities":{"hashtags":[]"urls":[{"url":"https:\/\/t.co\/sFXI5V7ydA""expanded_url":"https:\/\/twitter.com\/i\/web\/status\/1338594073448493056""display_url":"twitter.com\/i\/web\/status\/1\u2026""indices":[117140]}]"user_mentions":[]"symbols":[]}"favorited":false"retweeted":false"possibly_sensitive":false"filter_level":"low""lang":"fr""timestamp_ms":"1607980671642"}

Mon Dec 14 21:17:54 +0000 2020,@celly_kane Ohhhh un amour tu es \ud83e\udd7a\u2764\ufe0f\u2764\ufe0f\u2764\ufe0f""display_text_range":[1240]"source":"\u003ca href=\"http:\/\/twitter.com\/download\/iphone\" rel=\"nofollow\"\u003eTwitter for iPhone\u003c\/a\u003e""truncated":false"in_reply_to_status_id":1338590445073559565"in_reply_to_status_id_str":"1338590445073559565""in_reply_to_user_id":1290772225730256902"in_reply_to_user_id_str":"1290772225730256902""in_reply_to_screen_name":"celly_kane""user":{"id":1158025159615352832"id_str":"1158025159615352832""name":"NAKIYAA_""screen_name":"saraata224""location":null"url":null"description":"IG: __saraata___""translator_type":"none""protected":false"verified":false"followers_count":912"friends_count":308"listed_count":0"favourites_count":8753"statuses_count":5330"created_at":"Sun Aug 04 14:41:27 +0000 2019""utc_offset":null"time_zone":null"geo_enabled":true"lang":null"contributors_enabled":false"is_translator":false"profile_background_color":"F5F8FA""profile_background_image_url":"""profile_background_image_url_https":"""profile_background_tile":false"profile_link_color":"1DA1F2""profile_sidebar_border_color":"C0DEED""profile_sidebar_fill_color":"DDEEF6""profile_text_color":"333333""profile_use_background_image":true"profile_image_url":"http:\/\/pbs.twimg.com\/profile_images\/1333746382709137408\/aPaVZ03U_normal.jpg""profile_image_url_https":"https:\/\/pbs.twimg.com\/profile_images\/1333746382709137408\/aPaVZ03U_normal.jpg""profile_banner_url":"https:\/\/pbs.twimg.com\/profile_banners\/1158025159615352832\/1598572915""default_profile":true"default_profile_image":false"following":null"follow_request_sent":null"notifications":null}"geo":null"coordinates":null"place":null"contributors":null"is_quote_status":false"quote_count":0"reply_count":0"retweet_count":0"favorite_count":0"entities":{"hashtags":[]"urls":[]"user_mentions":[{"screen_name":"celly_kane""name":"Celly Kane""id":1290772225730256902"id_str":"1290772225730256902""indices":[011]}]"symbols":[]}"favorited":false"retweeted":false"filter_level":"low""lang":"fr""timestamp_ms":"1607980674310"}

Mon Dec 14 21:17:54 +0000 2020,@channiejohnny VIENS JE VAIS TE FRAPPER AVEC MON AMOUR""display_text_range":[1554]"source":"\u003ca href=\"http:\/\/twitter.com\/download\/iphone\" rel=\"nofollow\"\u003eTwitter for iPhone\u003c\/a\u003e""truncated":false"in_reply_to_status_id":1338593993710514178"in_reply_to_status_id_str":"1338593993710514178""in_reply_to_user_id":437525591"in_reply_to_user_id_str":"437525591""in_reply_to_screen_name":"channiejohnny""user":{"id":1099412569540960256"id_str":"1099412569540960256""name":"Koala\ud83d\udc28""screen_name":"KZeliba""location":"Straykids""url":null"description":"\u2728Multifandom\u2728|She\/her| La femme de @channiejohnny""translator_type":"none""protected":false"verified":false"followers_count":701"friends_count":958"listed_count":1"favourites_count":45454"statuses_count":9810"created_at":"Sat Feb 23 20:55:57 +0000 2019""utc_offset":null"time_zone":null"geo_enabled":false"lang":null"contributors_enabled":false"is_translator":false"profile_background_color":"F5F8FA""profile_background_image_url":"""profile_background_image_url_https":"""profile_background_tile":false"profile_link_color":"1DA1F2""profile_sidebar_border_color":"C0DEED""profile_sidebar_fill_color":"DDEEF6""profile_text_color":"333333""profile_use_background_image":true"profile_image_url":"http:\/\/pbs.twimg.com\/profile_images\/1334222839717765120\/RHJT71Q7_normal.jpg""profile_image_url_https":"https:\/\/pbs.twimg.com\/profile_images\/1334222839717765120\/RHJT71Q7_normal.jpg""profile_banner_url":"https:\/\/pbs.twimg.com\/profile_banners\/1099412569540960256\/1606938489""default_profile":true"default_profile_image":false"following":null"follow_request_sent":null"notifications":null}"geo":null"coordinates":null"place":null"contributors":null"is_quote_status":false"quote_count":0"reply_count":0"retweet_count":0"favorite_count":0"entities":{"hashtags":[]"urls":[]"user_mentions":[{"screen_name":"channiejohnny""name":"Yak\u0131\u015f\u0131kl\u0131 Jeno""id":437525591"id_str":"437525591""indices":[014]}]"symbols":[]}"favorited":false"retweeted":false"filter_level":"low""lang":"fr""timestamp_ms":"1607980674598"}
